month,total_broadband
2002-01,145000
2002-02,150600
2002-03,158500
2002-04,167000
2002-05,175500
2002-06,182900
2002-07,189500
2002-08,197200
2002-09,202200
2002-10,209000
2002-11,217300
2002-12,230200
2003-01,243700
2003-02,256400
2003-03,268200
2003-04,281500
2003-05,299600
2003-06,311600
2003-07,325800
2003-08,338200
2003-09,349100
2003-10,357400
2003-11,367800
2003-12,385800
2004-01,394500
2004-02,405100
2004-03,417000
2004-04,424000
2004-05,432900
2004-06,441600
2004-07,460200
2004-08,467900
2004-09,477700
2004-10,485100
2004-11,491000
2004-12,506100
2005-01,518800
2005-02,526700
2005-03,539800
2005-04,548900
2005-05,559100
2005-06,570200
2005-07,579100
2005-08,588300
2005-09,597700
2005-10,605300
2005-11,613300
2005-12,629600
2006-01,639200
2006-02,644500
2006-03,656200
2006-04,662600
2006-05,671300
2006-06,684600
2006-07,694300
2006-08,703400
2006-09,712400
2006-10,718400
2006-11,738800
2006-12,757500
2007-01,768800
2007-02,773800
2007-03,787800
2007-04,2352100
2007-05,2427900
2007-06,2542500
2007-07,2652800
2007-08,2739200
2007-09,2848200
2007-10,2960000
2007-11,3087300
2007-12,3250700
2008-01,3381400
2008-02,3486500
2008-03,3640600
2008-04,3765400
2008-05,3891800
2008-06,4026400
2008-07,4149400
2008-08,4265700
2008-09,4336400
2008-10,4466900
2008-11,4614700
2008-12,4717500
2009-01,4806000
2009-02,4883700
2009-03,4957900
2009-04,5002700
2009-05,5066100
2009-06,5126400
2009-07,5267000
2009-08,5369700
2009-09,5464100
2009-10,5563000
2009-11,5678100
2009-12,5819000
2010-01,5969600
2010-02,6080700
2010-03,6224200
2010-04,6389000
2010-05,6587300
2010-06,6791000
2010-07,6997100
2010-08,7177500
2010-09,7358400
2010-10,7528800
2010-11,7685500
2010-12,7849300
2011-01,7960300
2011-02,8054400
2011-03,8224600
2011-04,8354900
2011-05,8487200
2011-06,8629900
2011-07,8744900
2011-08,8851700
2011-09,8959900
2011-10,9052200
2011-11,9133400
2011-12,9222300
2012-01,9272900
2012-02,9300400
2012-03,9441900
2012-04,9497000
2012-05,9537400
2012-06,9644800
2012-07,9748200
2012-08,9808300
2012-09,9871000
2012-10,9984400
2012-11,10076200
2012-12,10194900
2013-01,10308700
2013-02,10339100
2013-03,10344200
2013-04,10460700
2013-05,10546000
2013-06,10760900
2013-07,10224800
2013-08,10318400
2013-09,10416100
2013-10,10474700
2013-11,10573500
2013-12,10653600
2014-01,10698700
2014-02,10717400
2014-03,11472700
2014-04,11568200
2014-05,11581100
2014-06,11564300
2014-07,11545800
2014-08,11549000
2014-09,11511900
2014-10,11521100
2014-11,11524200
2014-12,11537200
2015-01,11518100
2015-02,11522100
2015-03,11561900
2015-04,11617500
2015-05,11654500
2015-06,11698500
2015-07,11751100
2015-08,11807200
2015-09,11839000
2015-10,11862200
2015-11,11919900
2015-12,11992100
2016-01,12049500
2016-02,12090100
2016-03,12116900
2016-04,12168900
2016-05,12215200
2016-06,12272500
2016-07,12340200
2016-08,12376300
2016-09,12484200
2016-10,12447800
2016-11,12483600
2016-12,12543600
2017-01,12571100
2017-02,12601500
2017-03,12700300
2017-04,12927200
2017-05,12841500
2017-06,13061300
2017-07,13086000
2017-08,13006700
2017-09,12979300
2017-10,12962300
2017-11,13038000
2017-12,13072900
2018-01,12228800
2018-02,12154000
2018-03,12355400
2018-04,12339200
2018-05,12338700
2018-06,12409600
2018-07,12604100
2018-08,12698700
