month,type_of_broadband,number_of_subscriptions
2002-01,Residential,132400
2002-01,Corporate,12600
2002-02,Residential,137700
2002-02,Corporate,12900
2002-03,Residential,145000
2002-03,Corporate,13600
2002-04,Residential,152700
2002-04,Corporate,14300
2002-05,Residential,160500
2002-05,Corporate,15100
2002-06,Residential,167100
2002-06,Corporate,15800
2002-07,Residential,173700
2002-07,Corporate,15800
2002-08,Residential,181400
2002-08,Corporate,15800
2002-09,Residential,187100
2002-09,Corporate,15100
2002-10,Residential,193100
2002-10,Corporate,15900
2002-11,Residential,200800
2002-11,Corporate,16500
2002-12,Residential,213000
2002-12,Corporate,17200
2003-01,Residential,225400
2003-01,Corporate,18300
2003-01,Cable Modem,102900
2003-01,XDSL,140800
2003-02,Residential,237300
2003-02,Corporate,19100
2003-02,Cable Modem,106100
2003-02,XDSL,150300
2003-03,Residential,248400
2003-03,Corporate,19800
2003-03,Cable Modem,108400
2003-03,XDSL,159800
2003-04,Residential,261200
2003-04,Corporate,20300
2003-04,Cable Modem,111700
2003-04,XDSL,169800
2003-05,Residential,278200
2003-05,Corporate,21400
2003-05,Cable Modem,119500
2003-05,XDSL,180100
2003-06,Residential,289700
2003-06,Corporate,21900
2003-06,Cable Modem,122700
2003-06,XDSL,188900
2003-07,Residential,303700
2003-07,Corporate,22100
2003-07,Cable Modem,127200
2003-07,XDSL,198600
2003-08,Residential,315200
2003-08,Corporate,23000
2003-08,Cable Modem,131500
2003-08,XDSL,206700
2003-09,Residential,326200
2003-09,Corporate,22900
2003-09,Cable Modem,135500
2003-09,XDSL,213500
2003-10,Residential,333500
2003-10,Corporate,23900
2003-10,Cable Modem,136800
2003-10,XDSL,220600
2003-11,Residential,343100
2003-11,Corporate,24700
2003-11,Cable Modem,140300
2003-11,XDSL,227500
2003-12,Residential,360400
2003-12,Corporate,25400
2003-12,Cable Modem,150200
2003-12,XDSL,235600
2004-01,Residential,368200
2004-01,Corporate,26200
2004-01,Cable Modem,153800
2004-01,XDSL,240700
2004-02,Residential,378000
2004-02,Corporate,26900
2004-02,Cable Modem,159400
2004-02,XDSL,245600
2004-03,Residential,389100
2004-03,Corporate,27800
2004-03,Cable Modem,165700
2004-03,XDSL,251400
2004-04,Residential,395700
2004-04,Corporate,28200
2004-04,Cable Modem,169100
2004-04,XDSL,254900
2004-05,Residential,403400
2004-05,Corporate,29400
2004-05,Cable Modem,174300
2004-05,XDSL,258600
2004-06,Residential,411700
2004-06,Corporate,29800
2004-06,Cable Modem,180200
2004-06,XDSL,261400
2004-07,Residential,422300
2004-07,Corporate,37900
2004-07,Cable Modem,187600
2004-07,XDSL,267900
2004-07,Wireless,0
2004-07,Other Platforms,1600
2004-08,Residential,429400
2004-08,Corporate,38500
2004-08,Cable Modem,193700
2004-08,XDSL,269500
2004-08,Wireless,0
2004-08,Other Platforms,1600
2004-09,Residential,438300
2004-09,Corporate,39400
2004-09,Cable Modem,201200
2004-09,XDSL,271200
2004-09,Wireless,0
2004-09,Other Platforms,2200
2004-10,Residential,444400
2004-10,Corporate,40600
2004-10,Cable Modem,205300
2004-10,XDSL,274600
2004-10,Wireless,0
2004-10,Other Platforms,2100
2004-11,Residential,450100
2004-11,Corporate,40900
2004-11,Cable Modem,209500
2004-11,XDSL,275900
2004-11,Wireless,0
2004-11,Other Platforms,2600
2004-12,Residential,464300
2004-12,Corporate,41800
